References,condition,Description,ID,Result,Policy ID,Rationale,command,Remediation,Reason,Title,Compliance,Rules
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/password-policy",all,"This policy setting determines the number of days that you must use a password before you can change it. The range of values for this policy setting is between 1 and 999 days. (You may also set the value to 0 to allow immediate password changes.) The default value for this setting is 0 days. The recommended state for this setting is: 1 or more day(s)). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",26002,failed,cis_win11_enterprise,"Users may have favorite passwords that they like to use because they are easy to remember and they believe that their password choice is secure from compromise. Unfortunately, passwords are compromised and if an attacker is targeting a specific individual's user account, with foreknowledge of data about that user, reuse of old passwords can cause a security breach. To address password reuse a combination of security settings is required. Using this policy setting with the Enforce password history setting prevents the easy reuse of old passwords. For example, if you configure the Enforce password history setting to ensure that users cannot reuse any of their last 12 passwords, they could change their password 13 times in a few minutes and reuse the password they started with, unless you also configure the Minimum password age setting to a number that is greater than 0. You must configure this policy setting to a number that is greater than 0 for the Enforce password history setting to be effective.","powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MinimumPasswordAge""; Remove-Item $env:TEMP\secpol.cfg","To establish the recommended configuration via GP, set the following UI path to 1 or more day(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password age.",,Ensure 'Minimum password age' is set to '1 or more day(s)'.,"[{""key"":""cis"",""value"":""1.1.3""},{""key"":""cis_csc_v7"",""value"":""16.10""},{""key"":""cis_csc_v8"",""value"":""5.2""},{""key"":""cmmc_v2.0"",""value"":""IA.L2-3.5.7""},{""key"":""pci_dss_v4.0"",""value"":""2.2.2,8.3.5,8.3.6,8.6.3""},{""key"":""soc_2"",""value"":""CC6.1""}]","[{""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MinimumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg -> n:MinimumPasswordAge = (\\d+) compare >= 1"",""type"":""command""}]"
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/password-policy",all,"This policy setting determines the least number of characters that make up a password for a user account. There are many different theories about how to determine the best password length for an organization, but perhaps ""passphrase"" is a better term than ""password."" In Microsoft Windows 2000 or newer, passphrases can be quite long and can include spaces. Therefore, a phrase such as ""I want to drink a $5 milkshake"" is a valid passphrase; it is a considerably stronger password than an 8 or 10 character string of random numbers and letters, and yet is easier to remember. Users must be educated about the proper selection and maintenance of passwords, especially around password length. In enterprise environments, the ideal value for the Minimum password length setting is 14 characters, however you should adjust this value to meet your organization's business requirements. The recommended state for this setting is: 14 or more character(s). Note: In Windows Server 2016 and older versions of Windows Server, the GUI of the Local Security Policy (LSP), Local Group Policy Editor (LGPE) and Group Policy Management Editor (GPME) would not let you set this value higher than 14 characters. However, starting with Windows Server 2019, Microsoft changed the GUI to allow up to a 20 character minimum password length. Note #2: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",26003,failed,cis_win11_enterprise,"Types of password attacks include dictionary attacks (which attempt to use common words and phrases) and brute force attacks (which try every possible combination of characters). Also, attackers sometimes try to obtain the account database so they can use tools to discover the accounts and passwords.","powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MinimumPasswordLength""; Remove-Item $env:TEMP\secpol.cfg","To establish the recommended configuration via GP, set the following UI path to 14 or more character(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password length.",,Ensure 'Minimum password length' is set to '14 or more character(s)'.,"[{""key"":""cis"",""value"":""1.1.4""},{""key"":""cis_csc_v7"",""value"":""4.4,16.2""},{""key"":""cis_csc_v8"",""value"":""5.2""},{""key"":""cmmc_v2.0"",""value"":""IA.L2-3.5.7""},{""key"":""iso_27001-2013"",""value"":""A.9.4.3""},{""key"":""pci_dss_v4.0"",""value"":""2.2.2,8.3.5,8.3.6,8.6.3""},{""key"":""soc_2"",""value"":""CC6.1""}]","[{""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MinimumPasswordLength\""; Remove-Item $env:TEMP\\secpol.cfg -> n:MinimumPasswordLength = (\\d+) compare >= 14"",""type"":""command""}]"
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://support.microsoft.com/en-us/topic/minimum-password-length-auditing-and-enforcement-on-certain-versions-of-windows-5ef7fecf-3325-f56b-cc10-4fd565aacc59,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/password-policy",all,"This policy setting determines whether the minimum password length setting can be increased beyond the legacy limit of 14 characters. For more information, please see the following Microsoft Security Blog. The recommended state for this setting is: Enabled. Note: This setting only affects local accounts on the computer. Domain accounts are only affected by settings on the Domain Controllers, because that is where domain accounts are stored.",26004,failed,cis_win11_enterprise,This setting will enable the enforcement of longer and generally stronger passwords or passphrases where MFA is not in use.,,"To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Relax minimum password length limits Note: This setting is only available within the built-in OS security template of Windows 10 Release 2004 and Server 2022 (or newer), and is not available via older versions of the OS, or via downloadable Administrative Templates (ADMX/ADML). Therefore, you must use a Windows 10 Release 2004 or Server 2022 system (or newer) to view or edit this setting with the Group Policy Management Console (GPMC) or Group Policy Management Editor (GPME).",,Ensure 'Relax minimum password length limits' is set to 'Enabled'.,"[{""key"":""cis"",""value"":""1.1.6""},{""key"":""cis_csc_v7"",""value"":""16.4""},{""key"":""cis_csc_v8"",""value"":""5.2""},{""key"":""cmmc_v2.0"",""value"":""IA.L2-3.5.7""},{""key"":""iso_27001-2013"",""value"":""A.10.1.1""},{""key"":""pci_dss_v4.0"",""value"":""2.2.2,8.3.5,8.3.6,8.6.3""},{""key"":""soc_2"",""value"":""CC6.1""}]","[{""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\SAM"",""type"":""registry""},{""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\SAM -> RelaxMinimumPasswordLengthLimits"",""type"":""registry""},{""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\SAM -> RelaxMinimumPasswordLengthLimits -> 1"",""type"":""registry""}]"
https://www.cisecurity.org/white-papers/cis-password-policy-guide/,all,"This policy setting determines the length of time that must pass before a locked account is unlocked and a user can try to log on again. The setting does this by specifying the number of minutes a locked out account will remain unavailable. If the value for this policy setting is configured to 0, locked out accounts will remain locked out until an administrator manually unlocks them. Although it might seem like a good idea to configure the value for this policy setting to a high value, such a configuration will likely increase the number of calls that the help desk receives to unlock accounts locked by mistake. Users should be aware of the length of time a lock remains in place, so that they realize they only need to call the help desk if they have an extremely urgent need to regain access to their computer. The recommended state for this setting is: 15 or more minute(s). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",26005,failed,cis_win11_enterprise,"A denial of service (DoS) condition can be created if an attacker abuses the Account lockout threshold and repeatedly attempts to log on with a specific account. Once you configure the Account lockout threshold setting, the account will be locked out after the specified number of failed attempts. If you configure the Account lockout duration setting to 0, then the account will remain locked out until an administrator unlocks it manually.","powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""LockoutDuration""; Remove-Item $env:TEMP\secpol.cfg","To establish the recommended configuration via GP, set the following UI path to 15 or more minute(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Account lockout duration.",,Ensure 'Account lockout duration' is set to '15 or more minute(s)'.,"[{""key"":""cis"",""value"":""1.2.1""},{""key"":""cis_csc_v7"",""value"":""16.2,16.11""},{""key"":""cis_csc_v8"",""value"":""4.10""},{""key"":""cmmc_v2.0"",""value"":""AC.L2-3.1.8,SC.L2-3.13.9""},{""key"":""pci_dss_v4.0"",""value"":""8.3.4""}]","[{""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""LockoutDuration\""; Remove-Item $env:TEMP\\secpol.cfg -> n:LockoutDuration = (\\d+) compare >= 15"",""type"":""command""}]"
https://www.cisecurity.org/white-papers/cis-password-policy-guide/,all,"This policy setting determines the number of failed logon attempts before the account is locked. Setting this policy to 0 does not conform to the benchmark as doing so disables the account lockout threshold. The recommended state for this setting is: 5 or fewer invalid logon attempt(s), but not 0. Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",26006,failed,cis_win11_enterprise,Setting an account lockout threshold reduces the likelihood that an online password brute force attack will be successful. Setting the account lockout threshold too low introduces risk of increased accidental lockouts and/or a malicious actor intentionally locking out accounts.,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""LockoutBadCount""; Remove-Item $env:TEMP\secpol.cfg","To establish the recommended configuration via GP, set the following UI path to 5 or fewer invalid login attempt(s), but not 0: Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Account lockout threshold.",,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'.","[{""key"":""cis"",""value"":""1.2.2""},{""key"":""cis_csc_v7"",""value"":""16.2,16.11""},{""key"":""cis_csc_v8"",""value"":""4.10""},{""key"":""cmmc_v2.0"",""value"":""AC.L2-3.1.8,SC.L2-3.13.9""},{""key"":""pci_dss_v4.0"",""value"":""8.3.4""}]","[{""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""LockoutBadCount\""; Remove-Item $env:TEMP\\secpol.cfg -> n:LockoutBadCount = (\\d+) compare <= 5"",""type"":""command""},{""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""LockoutBadCount\""; Remove-Item $env:TEMP\\secpol.cfg -> n:LockoutBadCount = (\\d+) compare > 0"",""type"":""command""}]"
https://www.cisecurity.org/white-papers/cis-password-policy-guide/,all,"This policy setting determines the length of time before the Account lockout threshold resets to zero. The default value for this policy setting is Not Defined. If the Account lockout threshold is defined, this reset time must be less than or equal to the value for the Account lockout duration setting. If you leave this policy setting at its default value or configure the value to an interval that is too long, your environment could be vulnerable to a DoS attack. An attacker could maliciously perform a number of failed logon attempts on all users in the organization, which will lock out their accounts. If no policy were determined to reset the account lockout, it would be a manual task for administrators. Conversely, if a reasonable time value is configured for this policy setting, users would be locked out for a set period until all of the accounts are unlocked automatically. The recommended state for this setting is: 15 or more minute(s). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",26007,failed,cis_win11_enterprise,"Users can accidentally lock themselves out of their accounts if they mistype their password multiple times. To reduce the chance of such accidental lockouts, the Reset account lockout counter after setting determines the number of minutes that must elapse before the counter that tracks failed logon attempts and triggers lockouts is reset to 0.","powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""ResetLockoutCount""; Remove-Item $env:TEMP\secpol.cfg","To establish the recommended configuration via GP, set the following UI path to 15 or more minute(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Reset account lockout counter after.",,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'.,"[{""key"":""cis"",""value"":""1.2.4""},{""key"":""cis_csc_v7"",""value"":""16.2,16.11""},{""key"":""cis_csc_v8"",""value"":""4.10""},{""key"":""cmmc_v2.0"",""value"":""AC.L2-3.1.8,SC.L2-3.13.9""},{""key"":""pci_dss_v4.0"",""value"":""8.3.4""}]","[{""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""ResetLockoutCount\""; Remove-Item $env:TEMP\\secpol.cfg -> n:ResetLockoutCount = (\\d+) compare >= 15"",""type"":""command""}]"
https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/accounts-block-microsoft-accounts,all,This policy setting prevents users from adding new Microsoft accounts on this computer. The recommended state for this setting is: Users can't add or log on with Microsoft accounts.,26008,failed,cis_win11_enterprise,Organizations that want to effectively implement identity management policies and maintain firm control of what accounts are used to log onto their computers will probably want to block Microsoft accounts. Organizations may also need to block Microsoft accounts in order to meet the requirements of compliance standards that apply to their information systems.,,"To establish the recommended configuration via GP, set the following UI path to Users can't add or log on with Microsoft accounts: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Accounts: Block Microsoft accounts.",,Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts'.,"[{""key"":""cis"",""value"":""2.3.1.1""},{""key"":""cis_csc_v7"",""value"":""16.2""},{""key"":""cis_csc_v8"",""value"":""5.6""},{""key"":""nist_sp_800-53"",""value"":""AC-2(1)""},{""key"":""soc_2"",""value"":""CC6.1""}]","[{""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System"",""type"":""registry""},{""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System -> NoConnectedUser"",""type"":""registry""},{""rule"":""r:HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System -> NoConnectedUser -> 3"",""type"":""registry""}]"
https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/accounts-rename-administrator-account,all,"The built-in local administrator account is a well-known account name that attackers will target. It is recommended to choose another name for this account, and to avoid names that denote administrative or elevated access accounts. Be sure to also change the default description for the local administrator (through the Computer Management console).",26011,failed,cis_win11_enterprise,"The Administrator account exists on all computers that run the Windows 2000 or newer operating systems. If you rename this account, it is slightly more difficult for unauthorized persons to guess this privileged user name and password combination. The built-in Administrator account cannot be locked out, regardless of how many times an attacker might use a bad password. This capability makes the Administrator account a popular target for brute force attacks that attempt to guess passwords. The value of this countermeasure is lessened because this account has a well-known SID, and there are third-party tools that allow authentication by using the SID rather than the account name. Therefore, even if you rename the Administrator account, an attacker could launch a brute force attack by using the SID to log on.",net user,"To establish the recommended configuration via GP, configure the following UI path: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Accounts: Rename administrator account.",,Configure 'Accounts: Rename administrator account'.,"[{""key"":""cis"",""value"":""2.3.1.4""},{""key"":""cis_csc_v8"",""value"":""4.7""},{""key"":""pci_dss_v3.2.1"",""value"":""2.1,2.1.1""},{""key"":""pci_dss_v4.0"",""value"":""2.2.2,2.3.1""},{""key"":""soc_2"",""value"":""CC6.3""}]","[{""rule"":""not c:net user -> r:Admin|Администратор|Amministratore|Beheerder|Järjestelmänvalvoja|Správce|Rendszergazda|Yönetici |Διαχειριστής|管理者|管理员|系統管理員|관리자|مسؤول | מנהל |ผู้ดูแลระบบ"",""type"":""numeric""}]"
https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/accounts-rename-guest-account,all,"The built-in local guest account is another well-known name to attackers. It is recommended to rename this account to something that does not indicate its purpose. Even if you disable this account, which is recommended, ensure that you rename it for added security.",26012,failed,cis_win11_enterprise,"The Guest account exists on all computers that run the Windows 2000 or newer operating systems. If you rename this account, it is slightly more difficult for unauthorized persons to guess this privileged user name and password combination.",net user,"To establish the recommended configuration via GP, configure the following UI path: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Accounts: Rename guest account.",,Configure 'Accounts: Rename guest account'.,"[{""key"":""cis"",""value"":""2.3.1.5""},{""key"":""cis_csc_v8"",""value"":""4.7""},{""key"":""pci_dss_v3.2.1"",""value"":""2.1,2.1.1""},{""key"":""pci_dss_v4.0"",""value"":""2.2.2,2.3.1""},{""key"":""soc_2"",""value"":""CC6.3""}]","[{""rule"":""not c:net user -> r:guest|Guest|Gast|Invité|Invitado|Ospite|Convidado|Gäst |Gjest|Gæst|Vieras|Гость|Gość|Vendég|Host |Misafir|Επισκέπτης|ゲスト|来宾|來賓|게스트|ضيف|אורח|บัญชีผู้ใช้ทั่วไป"",""type"":""numeric""}]"
"https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/audit-force-audit-policy-subcategory-settings-to-override,https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/component-updates/command-line-process-auditing#to-ensure-that-advanced-audit-policy-configuration-settings-are-not-overwritten",all,"This policy setting allows administrators to enable the more precise auditing capabilities present in Windows Vista. The Audit Policy settings available in Windows Server 2003 Active Directory do not yet contain settings for managing the new auditing subcategories. To properly apply the auditing policies prescribed in this baseline, the Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings setting needs to be configured to Enabled. The recommended state for this setting is: Enabled. Important: Be very cautious about audit settings that can generate a large volume of traffic. For example, if you enable either success or failure auditing for all of the Privilege Use subcategories, the high volume of audit events generated can make it difficult to find other types of entries in the Security log. Such a configuration could also have a significant impact on system performance.",26013,failed,cis_win11_enterprise,"Prior to the introduction of auditing subcategories in Windows Vista, it was difficult to track events at a per-system or per-user level. The larger event categories created too many events and the key information that needed to be audited was difficult to find.",,"To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings.",,Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled'.,"[{""key"":""cis"",""value"":""2.3.2.1""},{""key"":""cis_csc_v7"",""value"":""6.2,6.3""},{""key"":""cis_csc_v8"",""value"":""8.5""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.1""},{""key"":""iso_27001-2013"",""value"":""A.12.4.1""},{""key"":""nist_sp_800-53"",""value"":""AU-3(1),AU-7""},{""key"":""pci_dss_3.2.1"",""value"":""10.1,10.2.2,10.2.4,10.2.5,10.3""},{""key"":""pci_dss_4.0"",""value"":""9.4.5,10.2,10.2.1,10.2.1.2,10.2.1.5""},{""key"":""soc_2"",""value"":""CC5.2,CC7.2""}]","[{""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\Lsa"",""type"":""registry""},{""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\Lsa -> SCENoApplyLegacyAuditPolicy"",""type"":""registry""},{""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\Lsa -> SCENoApplyLegacyAuditPolicy -> 1"",""type"":""registry""}]"
